x1,x2,x3,x4,x5,x6,x7,x14,x15,x16,y1
6.55,9.17,3.35,0.49,0.36,0.17,0.33,0.42,1.42,1.70,39.22
6.05,8.75,3.27,0.21,0.53,0.49,0.20,0.67,1.42,1.67,39.22
8.18,8.48,3.32,0.29,0.16,0.31,0.30,0.66,1.41,1.62,39.50
8.18,8.48,3.32,0.29,0.15,0.31,0.30,0.72,1.41,1.62,39.55
8.18,8.48,3.32,0.29,0.16,0.31,0.30,0.72,1.41,1.62,39.61
6.55,9.17,3.35,0.49,0.36,0.17,0.33,0.54,1.42,1.70,39.66
8.18,8.48,3.32,0.29,0.16,0.33,0.30,0.72,1.41,1.62,39.70
6.55,9.17,3.35,0.49,0.36,0.30,0.33,0.42,1.42,1.70,39.72
7.72,8.06,3.14,0.32,0.37,0.35,0.15,0.89,1.43,1.80,39.97
6.03,8.16,3.09,0.20,0.58,0.14,0.20,0.41,1.50,1.81,40.11
6.03,8.16,3.09,0.21,0.58,0.14,0.20,0.41,1.50,1.81,40.14
6.50,8.01,3.46,0.36,0.28,0.36,0.33,0.47,1.48,1.83,40.53
6.12,8.31,3.78,0.24,0.27,0.15,0.55,0.74,1.44,1.70,40.70
6.11,9.90,3.25,0.12,0.42,0.30,0.30,0.45,1.44,1.73,40.73
6.03,8.16,3.09,0.21,0.58,0.14,0.33,0.41,1.50,1.81,40.83
7.10,8.20,3.22,0.62,0.39,0.15,0.26,0.83,1.42,1.80,40.86
6.03,8.16,3.09,0.21,0.58,0.14,0.20,0.41,1.52,1.81,41.00
6.62,8.92,3.27,0.50,0.33,0.31,0.13,0.43,1.45,1.84,41.06
6.55,9.17,3.35,0.49,0.36,0.17,0.48,0.42,1.42,1.70,41.14
6.86,8.83,3.04,0.48,0.14,0.50,0.24,0.85,1.42,1.62,41.17
7.63,8.61,3.89,0.24,0.13,0.33,0.33,0.79,1.42,1.78,41.22
6.00,8.07,3.61,0.23,0.27,0.49,0.23,0.71,1.51,1.79,41.25
6.15,8.60,3.44,0.31,0.14,0.23,0.14,0.63,1.49,1.66,41.27
6.74,9.13,3.10,0.20,0.19,0.47,0.16,0.55,1.45,1.65,41.33
6.55,9.17,3.77,0.49,0.36,0.17,0.33,0.42,1.42,1.70,41.66
6.42,8.35,3.83,0.32,0.15,0.43,0.61,0.43,1.43,1.79,41.83
7.79,8.20,3.22,0.55,0.39,0.15,0.26,0.83,1.42,1.80,41.98
8.18,9.12,3.32,0.29,0.16,0.31,0.30,0.72,1.41,1.62,42.00
6.76,8.38,3.51,0.14,0.21,0.25,0.37,0.60,1.48,1.84,42.03
6.51,8.67,3.48,0.14,0.34,0.31,0.75,0.49,1.41,1.76,42.11
6.55,9.17,3.35,0.49,0.36,0.17,0.33,0.42,1.42,1.55,42.23
6.28,8.35,3.97,0.32,0.15,0.43,0.61,0.43,1.43,1.79,42.25
7.33,8.78,3.73,0.14,0.32,0.52,0.19,0.68,1.42,1.69,42.34
6.78,8.62,3.18,0.35,0.50,0.62,0.16,0.52,1.42,1.69,42.36
7.33,8.23,3.73,0.14,0.32,0.52,0.42,0.68,1.42,1.69,42.41
8.25,8.10,3.11,0.24,0.42,0.17,0.21,0.58,1.44,1.71,42.42
6.14,8.14,3.10,0.29,0.47,0.34,0.62,0.64,1.42,1.53,42.75
6.74,8.71,3.22,0.43,0.11,0.21,0.38,0.78,1.44,1.60,42.75
6.42,8.35,3.97,0.32,0.15,0.43,0.61,0.41,1.43,1.79,42.75
6.03,8.16,3.09,0.21,0.58,0.14,0.20,0.41,1.50,1.60,42.75
6.83,9.20,3.18,0.55,0.15,0.16,0.25,0.71,1.45,1.85,42.78
6.42,8.35,3.97,0.32,0.15,0.43,0.61,0.43,1.43,1.79,42.84
6.42,8.37,3.97,0.32,0.15,0.43,0.61,0.43,1.43,1.79,42.91
6.11,8.45,3.97,0.20,0.26,0.22,0.41,0.44,1.45,1.55,42.92
6.42,8.35,3.97,0.33,0.15,0.43,0.61,0.43,1.43,1.79,42.94
6.42,8.35,3.97,0.32,0.15,0.43,0.62,0.43,1.43,1.79,42.97
6.03,8.16,3.09,0.21,0.58,0.14,0.20,0.89,1.50,1.81,42.97
7.63,9.58,3.53,0.24,0.13,0.33,0.33,0.79,1.42,1.78,43.03
6.44,8.11,3.78,0.34,0.14,0.60,0.17,0.50,1.47,1.81,43.08
7.79,8.20,3.22,0.62,0.39,0.15,0.26,0.76,1.42,1.80,43.09
6.21,9.71,3.01,0.45,0.30,0.33,0.17,0.45,1.48,1.85,43.11
6.03,8.83,3.09,0.21,0.58,0.14,0.20,0.41,1.50,1.81,43.11
7.22,9.58,3.89,0.24,0.13,0.33,0.33,0.79,1.42,1.78,43.12
7.48,8.49,3.44,0.19,0.53,0.29,0.44,0.56,1.42,1.82,43.30
7.21,8.71,3.22,0.43,0.11,0.21,0.15,0.78,1.44,1.60,43.30
6.22,8.72,3.42,0.76,0.48,0.27,0.21,0.59,1.42,1.78,43.33
7.63,9.58,3.89,0.24,0.13,0.33,0.16,0.79,1.42,1.78,43.45
6.42,8.35,3.97,0.32,0.15,0.43,0.61,0.43,1.43,1.72,43.48
6.49,8.45,3.43,0.71,0.17,0.22,0.43,0.59,1.44,1.85,43.50
6.91,8.14,3.37,0.40,0.65,0.18,0.25,0.90,1.41,1.82,43.55
6.50,8.55,3.31,0.25,0.28,0.50,0.19,0.82,1.49,1.76,43.64
7.33,8.78,3.73,0.14,0.32,0.52,0.42,0.42,1.42,1.69,43.67
6.47,9.49,3.27,0.24,0.38,0.22,0.31,0.85,1.46,1.83,43.67
6.79,8.21,3.39,0.52,0.32,0.32,0.51,0.41,1.43,1.57,43.70
7.33,8.78,3.61,0.14,0.32,0.52,0.42,0.68,1.42,1.69,43.72
6.29,8.13,3.92,0.24,0.20,0.52,0.26,0.72,1.46,1.58,43.72
7.79,8.20,3.22,0.62,0.39,0.15,0.26,0.83,1.42,1.80,43.73
6.76,8.38,3.51,0.14,0.21,0.58,0.14,0.60,1.48,1.84,43.81
6.76,8.38,3.27,0.14,0.21,0.58,0.37,0.60,1.48,1.84,43.83
7.38,9.53,3.86,0.32,0.30,0.17,0.39,0.61,1.41,1.68,43.83
