x1,x2,x3,x4,x5,x6,x7,x14,x15,x16,y1
6.33,8.67,3.48,0.14,0.34,0.31,0.13,0.49,1.41,1.76,32.45
6.10,8.12,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.84,32.55
6.51,8.67,3.48,0.14,0.34,0.31,0.13,0.49,1.41,1.76,33.06
6.51,8.67,3.48,0.14,0.34,0.31,0.13,0.56,1.41,1.76,33.19
6.51,8.67,3.48,0.14,0.34,0.35,0.13,0.49,1.41,1.76,33.34
6.51,8.78,3.48,0.14,0.34,0.31,0.13,0.49,1.41,1.76,33.42
6.10,8.12,3.19,0.42,0.15,0.29,0.24,0.80,1.43,1.68,33.72
6.51,8.67,3.48,0.14,0.38,0.31,0.13,0.49,1.41,1.76,33.72
6.10,8.12,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.68,33.88
6.10,8.12,3.21,0.42,0.15,0.29,0.24,0.87,1.43,1.68,33.97
6.02,8.37,3.06,0.21,0.13,0.19,0.24,0.82,1.47,1.74,34.56
6.51,8.67,3.90,0.14,0.34,0.31,0.13,0.49,1.41,1.76,35.03
6.10,8.12,3.19,0.42,0.31,0.29,0.24,0.87,1.43,1.68,35.20
6.10,8.12,3.19,0.42,0.15,0.45,0.24,0.87,1.43,1.68,35.25
6.10,8.12,3.19,0.55,0.15,0.29,0.24,0.87,1.43,1.68,36.06
6.10,8.91,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.68,36.38
8.18,8.48,3.32,0.29,0.16,0.31,0.30,0.72,1.41,1.83,36.95
6.66,8.05,3.06,0.37,0.28,0.46,0.29,0.55,1.44,1.78,37.08
6.55,9.17,3.35,0.49,0.12,0.17,0.33,0.42,1.42,1.70,37.44
6.94,8.12,3.19,0.42,0.15,0.29,0.24,0.87,1.43,1.68,37.47
7.17,8.73,3.41,0.49,0.24,0.37,0.22,0.52,1.41,1.72,37.70
6.10,8.12,3.19,0.42,0.15,0.29,0.56,0.87,1.43,1.68,38.11
6.51,8.67,3.48,0.14,0.34,0.31,0.13,0.49,1.44,1.76,38.19
6.55,8.93,3.35,0.49,0.36,0.17,0.33,0.42,1.42,1.70,38.44
6.08,8.04,3.87,0.44,0.26,0.40,0.26,0.69,1.44,1.71,38.66
8.18,8.48,3.12,0.29,0.16,0.31,0.30,0.72,1.41,1.62,38.67
6.66,8.27,3.91,0.23,0.11,0.40,0.45,0.50,1.42,1.66,38.72
8.18,8.48,3.32,0.15,0.16,0.31,0.30,0.72,1.41,1.62,38.73
6.51,8.67,3.48,0.14,0.34,0.31,0.13,0.49,1.41,1.49,38.89
6.29,8.95,3.60,0.51,0.28,0.26,0.38,0.52,1.42,1.65,39.05
