x1,x2,x3,x4,x5,x6,x7,x15,x16,x17,y1
6.162109375,8.518554688,3.080566406,0.235791016,0.144384766,0.346533203,0.422998047,1.423535156,1.826806641,0.690410156,56.53
6.162109375,8.518554688,3.080566406,0.235791016,0.144384766,0.346533203,0.173388672,1.423535156,1.826806641,1.408417969,60.5
6.025390625,8.161132813,3.092285156,0.208544922,0.575048828,0.140869141,0.200634766,1.415332031,1.591904297,0.904394531,60.7
6.560546875,8.147460938,3.047363281,0.149658203,0.346533203,0.517041016,0.175146484,1.421894531,1.744423828,0.915996094,62.2
7.068359375,8.295898438,3.683105469,0.256884766,0.169873047,0.343896484,0.173388672,1.423535156,1.754814453,0.690410156,62.7
6.162109375,8.295898438,3.080566406,0.235791016,0.144384766,0.346533203,0.422998047,1.423535156,1.826806641,1.408417969,63.34
7.283203125,8.036132813,3.188964844,0.479248047,0.252490234,0.600537109,0.269189453,1.421074219,1.683935547,0.491894531,63.36
7.330078125,9.278320313,3.153808594,0.264794922,0.157568359,0.125927734,0.525830078,1.428730469,1.611201172,0.472558594,63.55
6.630859375,9.077148438,3.136230469,0.390478516,0.352685547,0.554833984,0.103076172,1.419433594,1.582626953,0.546035156,64.27
6.162109375,8.518554688,3.080566406,0.235791016,0.144384766,0.343896484,0.422998047,1.423535156,1.826806641,1.408417969,64.61
6.162109375,8.518554688,3.080566406,0.235791016,0.144384766,0.346533203,0.422998047,1.423535156,1.826806641,1.408417969,64.67
6.162109375,8.518554688,3.080566406,0.235791016,0.169873047,0.346533203,0.422998047,1.423535156,1.826806641,1.408417969,64.8
6.162109375,8.518554688,3.080566406,0.256884766,0.144384766,0.346533203,0.422998047,1.423535156,1.826806641,1.408417969,64.88
6.025390625,8.161132813,3.092285156,0.208544922,0.575048828,0.140869141,0.200634766,1.415332031,1.612685547,1.643027344,64.91
7.283203125,8.458007813,3.188964844,0.479248047,0.252490234,0.600537109,0.269189453,1.421074219,1.710654297,0.491894531,65.05
6.162109375,8.518554688,3.080566406,0.235791016,0.144384766,0.346533203,0.422998047,1.423535156,1.754814453,1.408417969,65.12
6.025390625,8.161132813,3.092285156,0.197998047,0.575048828,0.140869141,0.200634766,1.415332031,1.591904297,1.643027344,65.17
6.025390625,8.161132813,3.092285156,0.208544922,0.575048828,0.140869141,0.200634766,1.415332031,1.591904297,1.643027344,65.25
7.380859375,8.702148438,3.573730469,0.411572266,0.408935547,0.273583984,0.159326172,1.436660156,1.653876953,0.463535156,65.28
7.283203125,8.458007813,3.188964844,0.479248047,0.252490234,0.600537109,0.269189453,1.421074219,1.683935547,0.491894531,65.47
9.763671875,8.206054688,3.821777344,0.318408203,0.139111328,0.233154297,0.312255859,1.410136719,1.522509766,0.522832031,66.11
7.21484375,8.822265625,3.254882813,0.136035156,0.313574219,0.382128906,0.269628906,1.410273438,1.644785156,1.036523438,66.22
6.025390625,8.161132813,3.092285156,0.208544922,0.575048828,0.140869141,0.325439453,1.415332031,1.591904297,1.643027344,66.94
6.748046875,8.639648438,3.520019531,0.300830078,0.293798828,0.190087891,0.277099609,1.414511719,1.775595703,1.302714844,68.06
6.341796875,9.120117188,3.419433594,0.508251953,0.379052734,0.264794922,0.231396484,1.413417969,1.752587891,0.827050781,68.22
9.763671875,8.206054688,3.821777344,0.318408203,0.382568359,0.233154297,0.312255859,1.410136719,1.650908203,0.522832031,68.36
